### 시드 스윕 시작 Sat Aug 22 23:27:26     2026  — 짝지은 설계: 같은 시드로 base(fd0) 와 fd0.2 를 함께
### [sw_base_s1] 1단계 Sat Aug 22 23:27:26     2026
====================================================================================
[Phase 3] 2갈래 CNN — 세밀 10초@60Hz + 광역 60초@2Hz, 타깃 끝-1초
====================================================================================
평가: 홀드아웃 8,000창 (뒤 20%) | sha a2f4974fe456dc3b | 타깃 3239/3600
모델 0.61M 파라미터 | 배치 512 | 300 epoch x 50,000창 = 29,100 step | 장치 cuda
손실 가중치: power 1.0 / state .3 / on .3 / plugged .1 / standby .1 / harm 0.1 / cons 0.0 / over 0.0
학습 데이터: 캐시 cache/train60_v17 — 독립 창 300,000개 (14.6GB) | epoch 당 50,000창 -> 전체 50.0회 재사용
  ep205  loss 0.1556 (pw 0.0007 harm 1.4142)  [6s, 8,591 win/s]
  ep206  loss 0.1614 (pw 0.0008 harm 1.4571)  [6s, 8,644 win/s]
  ep207  loss 0.1601 (pw 0.0008 harm 1.4513)  [6s, 8,667 win/s]
  ep208  loss 0.1556 (pw 0.0007 harm 1.4064)  [6s, 8,751 win/s]
  ep209  loss 0.1561 (pw 0.0007 harm 1.4210)  [6s, 8,782 win/s]
  ep210  loss 0.1561 (pw 0.0007 harm 1.4181)  [6s, 8,829 win/s]
  ep211  loss 0.1570 (pw 0.0007 harm 1.4258)  [6s, 8,880 win/s]
  ep212  loss 0.1572 (pw 0.0007 harm 1.4313)  [6s, 8,838 win/s]
  ep213  loss 0.1556 (pw 0.0007 harm 1.4072)  [6s, 8,822 win/s]
  ep214  loss 0.1576 (pw 0.0007 harm 1.4367)  [6s, 8,636 win/s]
  ep215  loss 0.1548 (pw 0.0007 harm 1.4127)  [6s, 8,878 win/s]
  ep216  loss 0.1559 (pw 0.0007 harm 1.4146)  [6s, 8,709 win/s]
  ep217  loss 0.1555 (pw 0.0007 harm 1.4187)  [6s, 9,043 win/s]
  ep218  loss 0.1570 (pw 0.0007 harm 1.4252)  [6s, 9,016 win/s]
  ep219  loss 0.1590 (pw 0.0007 harm 1.4461)  [5s, 9,101 win/s]
  ep220  loss 0.1581 (pw 0.0007 harm 1.4346)  [6s, 9,066 win/s]
  ep221  loss 0.1560 (pw 0.0007 harm 1.4155)  [6s, 8,858 win/s]
  ep222  loss 0.1574 (pw 0.0007 harm 1.4351)  [6s, 8,982 win/s]
  ep223  loss 0.1571 (pw 0.0007 harm 1.4304)  [6s, 9,025 win/s]
  ep224  loss 0.1588 (pw 0.0007 harm 1.4507)  [5s, 9,133 win/s]
  ep225  loss 0.1575 (pw 0.0007 harm 1.4429)  [6s, 8,998 win/s]
  ep226  loss 0.1566 (pw 0.0007 harm 1.4375)  [6s, 8,446 win/s]
  ep227  loss 0.1573 (pw 0.0007 harm 1.4319)  [6s, 8,833 win/s]
  ep228  loss 0.1543 (pw 0.0007 harm 1.4021)  [6s, 8,797 win/s]
  ep229  loss 0.1545 (pw 0.0007 harm 1.4109)  [6s, 8,857 win/s]
  ep230  loss 0.1540 (pw 0.0007 harm 1.4005)  [6s, 8,627 win/s]
  ep231  loss 0.1547 (pw 0.0007 harm 1.4149)  [6s, 8,772 win/s]
  ep232  loss 0.1544 (pw 0.0007 harm 1.4071)  [6s, 8,747 win/s]
  ep233  loss 0.1572 (pw 0.0007 harm 1.4350)  [6s, 8,810 win/s]
  ep234  loss 0.1535 (pw 0.0007 harm 1.4050)  [6s, 8,825 win/s]
  ep235  loss 0.1592 (pw 0.0007 harm 1.4581)  [6s, 8,825 win/s]
  ep236  loss 0.1568 (pw 0.0007 harm 1.4310)  [6s, 8,815 win/s]
  ep237  loss 0.1546 (pw 0.0007 harm 1.4120)  [6s, 8,854 win/s]
  ep238  loss 0.1560 (pw 0.0007 harm 1.4320)  [6s, 8,853 win/s]
  ep239  loss 0.1553 (pw 0.0007 harm 1.4224)  [6s, 8,793 win/s]
  ep240  loss 0.1536 (pw 0.0007 harm 1.4096)  [6s, 8,873 win/s]
  ep241  loss 0.1576 (pw 0.0007 harm 1.4344)  [6s, 8,840 win/s]
  ep242  loss 0.1550 (pw 0.0007 harm 1.4205)  [6s, 8,865 win/s]
  ep243  loss 0.1541 (pw 0.0007 harm 1.4104)  [6s, 8,845 win/s]
  ep244  loss 0.1548 (pw 0.0007 harm 1.4180)  [6s, 8,842 win/s]
  ep245  loss 0.1546 (pw 0.0007 harm 1.4216)  [6s, 8,815 win/s]
  ep246  loss 0.1533 (pw 0.0007 harm 1.4065)  [6s, 8,818 win/s]
  ep247  loss 0.1542 (pw 0.0007 harm 1.4090)  [6s, 8,872 win/s]
  ep248  loss 0.1553 (pw 0.0007 harm 1.4269)  [6s, 8,816 win/s]
  ep249  loss 0.1561 (pw 0.0007 harm 1.4270)  [6s, 8,834 win/s]
  ep250  loss 0.1556 (pw 0.0007 harm 1.4300)  [6s, 8,791 win/s]
  ep251  loss 0.1532 (pw 0.0007 harm 1.4069)  [6s, 8,826 win/s]
  ep252  loss 0.1576 (pw 0.0007 harm 1.4464)  [6s, 8,820 win/s]
  ep253  loss 0.1547 (pw 0.0007 harm 1.4185)  [6s, 8,838 win/s]
  ep254  loss 0.1585 (pw 0.0007 harm 1.4520)  [6s, 8,871 win/s]
